PulseType,PulseIndex,SOC,C_rate,R0,R1,C1,R2,C2
WLTP_augmented,-1,46.0,2.44,0.0005860164674052,0.007285776785722033,11.63546419206649,0.011987816673209955,1652.3888180624692
WLTP_augmented,-1,46.0,2.55,0.0006039749811674,0.007224094197889316,11.199804200426659,0.011849304139069849,1654.7038848834368
WLTP_augmented,-1,46.0,3.32,0.0007109254782814,0.006856241992508024,8.236185811326399,0.010870925864047412,1686.0040489141031
WLTP_augmented,-1,46.0,5.29,0.0011098183218292,0.007852652981229516,7.962587734922345,0.01459234354640691,1987.1106700949078
WLTP_augmented,-1,46.0,7.6,0.0011284025262302,0.006913218792216518,5.947739785531209,0.013545997236898609,1988.3819903330268
WLTP_augmented,-1,46.5,2.07,0.0005146149075047,0.007500058599538236,13.071616128211216,0.012451562622061773,1642.0794896965022
WLTP_augmented,-1,46.5,2.44,0.0005788173230067,0.007290110789010529,11.611304592726368,0.011985656825408308,1649.8663809079437
WLTP_augmented,-1,46.5,2.55,0.0005968593789502,0.007228549508989054,11.175968871464622,0.0118471442912682,1652.1814469229384
WLTP_augmented,-1,46.5,3.6,0.0007327086583524,0.006782075053213758,7.225281625040952,0.010504820081226138,1708.8958033197846
WLTP_augmented,-1,46.5,4.37,0.0008890218010654,0.006850502007824304,5.844397500745228,0.01193362422563922,1707.1726322452744
WLTP_augmented,-1,46.5,4.8,0.0010288236079432,0.0076564423421504576,7.541852397939993,0.013812296729319013,1911.1395957368363
WLTP_augmented,-1,46.5,4.83,0.0010383040585209,0.007712894369867523,7.6599687097379405,0.013943366903994368,1925.3698605830098
WLTP_augmented,-1,46.5,4.94,0.0010727608756116,0.007920134698844708,8.09271504716999,0.014423957544470935,1977.5475112741626
WLTP_augmented,-1,46.5,5.18,0.0011023540656306,0.007950115764716907,8.178360579325538,0.014599793569754726,2005.6379386498807
WLTP_augmented,-1,46.5,5.29,0.0011085918611134,0.007901188276510826,8.088734495696189,0.014549967555016294,2005.6982535394613
WLTP_augmented,-1,46.5,5.81,0.0011315949491775,0.007675203532213815,7.657670049126555,0.014314426394434355,2005.9836533550122
WLTP_augmented,-1,46.5,7.6,0.0011289304513201,0.006964301551533779,6.080696224244854,0.013503621245508404,2006.9695568521572
WLTP_augmented,-1,46.5,7.67,0.0011262490114849,0.006938610837542497,6.016094771162314,0.013471913781583873,2007.0082209858872
WLTP_augmented,-1,47.0,2.07,0.0005073176565285,0.007503860616783633,13.046558819849826,0.01244940277426012,1639.5570554359906
WLTP_augmented,-1,47.0,2.33,0.0005531964529528,0.00735615298061621,12.021804482298586,0.012122009511747172,1645.0288990331753
WLTP_augmented,-1,47.0,3.6,0.0007304137660866,0.006749533053963881,7.131997439560951,0.01050897459705815,1695.5310371172839
WLTP_augmented,-1,47.0,3.65,0.0007344954208658,0.00674245556117909,6.96809440632199,0.010442856686584217,1702.0054289421346
WLTP_augmented,-1,47.0,4.03,0.0007710985801644,0.006703923477968048,5.811616251391736,0.010146740035470132,1742.047876391589
WLTP_augmented,-1,47.0,4.37,0.0008872763686876,0.006897868362595412,5.967963683631409,0.011891185561904332,1725.7540645874851
WLTP_augmented,-1,47.0,4.61,0.000966390186397,0.007347221238627628,6.917114775010466,0.01293974695930716,1839.5960507017237
WLTP_augmented,-1,47.0,4.72,0.001001888598612,0.007553798541845919,7.351275343991461,0.013420337599783321,1891.773659975375
